"JLCPCB BOM Tool - BOM Matching","","","","","","","","","","","","","","","","","","","","",""
"BOM name：bom-JLCPCB Assembly Order.xlsx","","","","Download Time：2026-05-17 00:22:18","","","","* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.","","","","","","","","","","","","",""
"PCB Assembled Qty：2","","","","Est. Total Price：30.4661
(Pre-order parts require a quotation for final pricing.)","","","","","","","","","","","","","","","","",""
"Your BOM","","","","Matched Parts","","","","","","","Order Information","","","","","","","","","",""
"Designator","Comment","Footprint","JLCPCB Part #","Matches","Part # ","Manufacturer","Footprint","Description","Category","Warning","JLCPCB Part #","Product link","Source","Lib Type","MOQ","Availability","My Parts(JLCPCB Parts)","My Parts(Global sourcing & consigned parts)","Rec. Order Qty","Unit Price ($)","Total Price ($)"
"BT1","~","BAT-SMD_BH-18650-B1BA007","","Select by System","BH-18650-B1BA007","MYOUNG","BAT-SMD_BH-18650-B1BA007","-25~85℃ Battery holder Gold plating Phosphor bronze - ROHS","Battery connector","","C6937126","https://jlcpcb.com/partdetail/MYOUNG-BH_18650B1BA007/C6937126","In-stock","Extended","1","585","0","0","2","1.7605","3.521"
"C10,C11,C12,C7,C8","22u","0603","","Unconfirmed","CL10A226MQ8NRNC","Samsung Electro-Mechanics","0603","22uF 6.3V X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","1.The comment (CL10A226MQ8NRNC) of this part does not match the one (22u) provided in your BOM. Please confirm;","C59461","https://jlcpcb.com/partdetail/60514-CL10A226MQ8NRNC/C59461","In-stock","Basic","1","14752133","0","0","20","0.01","0.2"
"Q1,Q2","FS8205","SOT95P280X145-6N","","Select by System","FS8205A","FUXINSEMI","SOT95P280X145-6N","-55℃~+150℃ 1.2V 1.5W 11nC@4.5V 125pF 18mΩ@4.5V 2 N-Channel 20V 6A 800pF SOT-23-6L MOSFETs ROHS","MOSFETs","","C908265","https://jlcpcb.com/partdetail/FUXINSEMI-FS8205A/C908265","In-stock","Extended","1","67248","0","0","8","0.0733","0.5864"
"U2,U9","USBLC6-2SC6","SOT-23-6","","Select by System","USBLC6-2SC6","STMicroelectronics","SOT-23-6","-40℃~+125℃ 150nA 17V 2 3.5pF 5.25V 5A 6V ESD IEC 61000-4-2 Unidirectional SOT-23-6L ESD and Surge Protection (TVS/ESD) ROHS","ESD and Surge Protection (TVS/ESD)","","C7519","https://jlcpcb.com/partdetail/STMicroelectronics-USBLC62SC6/C7519","In-stock","Extended","1","51697","0","0","6","0.1513","0.9078"
"U5","MAX17048G_T10","SON50P200X200X80-9N","","Select by System","MAX17048G+T10","Analog Devices Inc./Maxim Integrated","SON50P200X200X80-9N","-40℃~+85℃ 1 2.5V~4.5V 3uA I2C Lithium Battery Not supported Not supported DFN-8-EP(2x2) Battery Management ROHS","Battery Management","","C2682616","https://jlcpcb.com/partdetail/2777647-MAX17048GT10/C2682616","In-stock","Extended","1","9864","0","0","2","2.1642","4.3284"
"U8","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02","","Select by System","ESP32-C3-WROOM-02-N4","Espressif Systems","ESP32-C3-WROOM-02","-105dBm -40℃~+85℃ 2.4GHz 20.5dBm 345mA 3V~3.6V 82mA Bluetooth5.0 ESP32-C3 Chip On-board PCB Antenna UART、SPI、I2C、I2S、JTAG、USB VFQFN-32-EP WiFi Modules ROHS","WiFi Modules","","C2934560","https://jlcpcb.com/partdetail/3281215-ESP32_C3_WROOM_02N4/C2934560","In-stock","Extended","1","17335","0","0","2","3.0884","6.1768"
"C1,C13,C15,C17,C18,C19,C2,C4,C5,C9","100n","0603","","Unconfirmed","CC0603KRX7R9BB104","YAGEO","0603","100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","1.The comment (CC0603KRX7R9BB104) of this part does not match the one (100n) provided in your BOM. Please confirm;","C14663","https://jlcpcb.com/partdetail/YAGEO-CC0603KRX7R9BB104/C14663","In-stock","Basic","1","40691003","0","0","30","0.003","0.09"
"R9","GL5528","PinSocket_1x02_P2.54mm_Vertical","","Select by System","2.54-1*2P母","BOOMELE(Boom Precision Elec)","PinSocket_1x02_P2.54mm_Vertical","-40℃~+105℃ 1 1x2P 2.54mm 2P 3.3mm 3A Brass Square Hole Through Hole Top 插件,P=2.54mm Female Headers ROHS","Female Headers","","C49661","https://jlcpcb.com/partdetail/50669-2_54_1_2P/C49661","In-stock","Extended","1","55722","0","0","6","0.0606","0.3636"
"SW1,SW2","SW_Push","SW_Push_1P1T_XKB_TS-1187A","","Select by System","GT-TC084A-H015-L5","G-Switch","SW_Push_1P1T_XKB_TS-1187A","-30℃~+85℃ 1.5mm 1.6N 12V 5.2mm 5.2mm 500,000 Cycles 50mA Gold No Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD-4P,5.2x5.2mm Tactile Switches ROHS","Tactile Switches","","C778172","https://jlcpcb.com/partdetail/GSwitch-GT_TC084A_H015L5/C778172","In-stock","Extended","1","8729","0","0","5","0.063","0.315"
"U6","DHT11","PinSocket_1x03_P2.54mm_Horizontal","","Select by System","HX PM2.54-1x3P WC-Y","hanxia","PinSocket_1x03_P2.54mm_Horizontal","-40℃~+105℃ 1 1x3P 2.54mm 3.2mm 3A 3P Gold Phosphor bronze Right Angle Side Square Hole Push-Pull,P=2.54mm Female Headers ROHS","Female Headers","","C22438144","https://jlcpcb.com/partdetail/hanxia-HX_PM2_54_1x3P_WCY/C22438144","In-stock","Extended","1","378","0","0","2","0.1039","0.2078"
"R19,R2,R3","5.1k","0603","","Unconfirmed","0603WAF5101T5E","UNI-ROYAL(Uniroyal Elec)","0603","-55℃~+155℃ 100mW 5.1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (0603WAF5101T5E) of this part does not match the one (5.1k) provided in your BOM. Please confirm;","C23186","https://jlcpcb.com/partdetail/23913-0603WAF5101T5E/C23186","In-stock","Basic","1","9327067","0","0","20","0.0016","0.032"
